Template:
{ "[name]", [minx], [miny], [maxx], [maxy], 0x[color-hex]FF },

---
{ "Zone 1", -3000, 1633, -1840, 3000, 0xFF0000FF },
{ "Zone 2", -1833, 2024, -560, 3000, 0xFF0000FF },
{ "Zone 3", -554, 2236, 620, 3000, 0xFF0000FF },
{ "Zone 4", -550, 1305.5, -79, 2229.5, 0xFF0000FF },
{ "Zone 5", 626, 2680, 3000, 3000, 0xFF0000FF },
{ "Zone 6", 627, 2065, 1493, 2670, 0xFF0000FF },
{ "Zone 7", 630, 1196.5, 1496, 2059.5, 0xFF0000FF },
{ "Zone 8", -1830, 1299.5, -556, 2014.5, 0xFF0000FF },
{ "Zone 9", -551, 512.5, 619, 1296.5, 0xFF0000FF },
{ "Zone 10", 625.0001220703125, 511.5000457763672, 1499.0001220703125, 1191.5000457763672, 0xFF0000FF },
{ "Zone 11", 1500, 1196.5, 2334, 2673.5, 0xFF0000FF },
{ "Zone 12", 2341, 1196.5, 3000, 2670.5, 0xFF0000FF },
{ "Zone 13", -1470, 509.5, -557, 1294.5, 0xFF0000FF },
{ "Zone 14", 1506, 510.5, 2341, 1187.5, 0xFF0000FF },
{ "Zone 15", 2350, 508.5, 3000, 1190.5, 0xFF0000FF },
{ "Zone 16", -3000, 1297.5, -1839, 1624.5, 0xFF0000FF },
{ "Zone 17", -70, 1307.5, 620, 1627.5, 0xFF0000FF },
{ "Zone 18", -3000, 384.5, -2605, 1287.5, 0xFF0000FF },
{ "Zone 19", -3000, -204.49993896484375, -2606, 376.50006103515625, 0xFF0000FF },
{ "Zone 20", -3000, -540.4999389648438, -2263, -213.49993896484375, 0xFF0000FF },
{ "Zone 21", -2599, 820.5, -2142, 1290.5, 0xFF0000FF },
{ "Zone 22", -2135, 811.5, -1479, 1289.5, 0xFF0000FF },
{ "Zone 23", -2598, 563.5, -2141, 810.5, 0xFF0000FF },
{ "Zone 24", -2133, 511.5, -1476, 802.5, 0xFF0000FF },
{ "Zone 25", -2600, 246.5, -2140, 557.5, 0xFF0000FF },
{ "Zone 26", -2600, -205.5, -2260, 239.5, 0xFF0000FF },
{ "Zone 27", -2252, -204.5, -2135, 237.5, 0xFF0000FF },
{ "Zone 28", -2132, -204.5, -1759, 505.5, 0xFF0000FF },
{ "Zone 29", -1751, 256.5, -965, 502.5, 0xFF0000FF },
{ "Zone 30", -1752, -16.5, -967, 249.5, 0xFF0000FF },
{ "Zone 31", -1752, -203.5, -969, -22.5, 0xFF0000FF },
{ "Zone 32", -2257, -539.5, -1757, -211.5, 0xFF0000FF },
{ "Zone 33", -1751, -539.5, -1293, -210.5, 0xFF0000FF },
{ "Zone 34", -1287.9999389648438, -538.5, -970.9999389648438, -209.5, 0xFF0000FF },
{ "Zone 35", -1751.9999389648438, -724.5, -970.9999389648438, -545.5, 0xFF0000FF },
{ "Zone 36", -2259, -723.5, -1759, -546.5, 0xFF0000FF },
{ "Zone 37", -3000, -886.5, -2264, -546.5, 0xFF0000FF },
{ "Zone 38", -2258, -1016.5, -1745, -729.5, 0xFF0000FF },
{ "Zone 39", -3000, -1456.5, -2264, -892.5, 0xFF0000FF },
